original_text,ground_truth,y_pred_original,counterfactual_text
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,"A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig. Instead, the woman wearing a ball cap stands up and walks away from the cracked earth. An archeologist wearing a hat continues to squat and examine the site for a dig."
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,A woman wearing a ball cap squats down to touch the cracked earth. A standing woman wearing a hat not touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,"A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden, while holding a watering can."
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,Two children are laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,Two children re laying on a rug with some wooden bricks laid out in a square between them. One child is on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men. The man near the building is not standing by two other men.
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,A man standing in front of a building on the phone as two men to the side paint on the side. Two girls walk through a hall.
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,"A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards. However, instead of a busy man standing with bodyguards, there should have been no bodyguards accompanying him."
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors.",entailment,entailment,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. However, the girls are not playing outdoors."
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up indoors.",contradiction,contradiction,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up outdoors."
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. The two girls play in the Autumn.",neutral,neutral,"The two young girls are dressed as fairies, and are playing in the leaves outdoors. However, the two girls do not play in the Autumn."
People jump over a mountain crevasse on a rope. Some people look visually afraid to jump.,neutral,neutral,"People jump over a mountain crevasse on a rope. However, all people look visually afraid to jump."
People jump over a mountain crevasse on a rope. People are jumping outside.,entailment,entailment,People jump over a mountain crevasse on a rope. People are not jumping outside.
People jump over a mountain crevasse on a rope. People slide over a mountain crevasse on a slide.,contradiction,contradiction,"People jump over a mountain crevasse on a rope. People slide over a mountain crevasse on a slide, instead of jumping."
A snowboarder on a wide plain of snow A snow field with a snowboarder on it,entailment,entailment,A snowboarder on a wide plain of snow should not have been present.
An older women tending to a garden. The lady is cooking dinner,contradiction,contradiction,An older woman tending to a garden. The lady is cooking dinner in the garden.
An older women tending to a garden. The lady is weeding her garden,neutral,neutral,An older women tending to a garden. The lady is not weeding her garden.
An older women tending to a garden. The lady has a garden,entailment,entailment,An older woman tending to a garden. The lady does not have a garden.
A man in a black shirt overlooking bike maintenance. A man destroys a bike.,contradiction,contradiction,A man in a black shirt overlooking bike maintenance. A man carefully repairs a bike.
A man in a black shirt overlooking bike maintenance. A man learns bike maintenance.,neutral,neutral,A man in a black shirt overlooking bike maintenance. A man does not learn bike maintenance.
A man in a black shirt is looking at a bike in a workshop. A man is wearing a red shirt,contradiction,contradiction,A man in a black shirt is looking at a bike in a workshop. A man is wearing a red shirt and they are discussing the features of the bike.
A man in a black shirt is looking at a bike in a workshop. A man is in a black shirt,entailment,entailment,A man in a black shirt is looking at a bike in a workshop. The man is not in a black shirt.
A man in a black shirt is looking at a bike in a workshop. A man is deciding which bike to buy,neutral,neutral,A man in a black shirt is looking at a bike in a workshop. A man is deciding which bike not to buy.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is in a garage.,entailment,entailment,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is not in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A man repairs bicycles.,entailment,entailment,"A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. However, the man does not repair bicycles."
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. Some people stand around.",contradiction,contradiction,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. However, instead of some people standing around, there is a crowd of people bustling about."
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People run together.",contradiction,contradiction,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. If the man had not looked oddly at the two women, the redheaded woman would have looked down instead of up and forward in an awkward position, and the yellow blond girl would have been engaged in a conversation instead of twiddling with her hair. People run together."
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People wait at a station.",entailment,entailment,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People do not wait at a station."
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a blond headed child,entailment,entailment,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is NOT standing behind a blond headed child.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing on top of a blond headed child,contradiction,contradiction,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing next to a blond headed child in a wheelbarrow.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a pretty blond headed child,neutral,neutral,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a pretty blond headed child who is not sitting in a wheelbarrow.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A lady sitting on a bench in the park.",contradiction,contradiction,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A lady sitting on a bench in the park, is smiling and waving at the person."
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. An old lady pushing a stroller down a busy street.",neutral,neutral,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. An old lady pushing a stroller down a busy street, but without any flowers or a stuffed bee attached to it."
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A person outside pushing a stroller.",entailment,entailment,"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A person outside pushing a stroller, but the person pushing the stroller is not dressed in a dress with flowers and a stuffed bee attached to it."
A dog jumping for a Frisbee in the snow. A pet is enjoying a game of fetch with his owner.,neutral,neutral,A dog jumping for a Frisbee in the snow. A pet is not enjoying a game of fetch with his owner.
A dog jumping for a Frisbee in the snow. A cat washes his face and whiskers with his front paw.,contradiction,contradiction,"A dog jumping for a Frisbee in the snow. A cat washes his face and whiskers with his front paw, indicating that they are playing together."
"A dog jumping for a Frisbee in the snow. An animal is outside in the cold weather, playing with a plastic toy.",entailment,entailment,"A dog jumping for a Frisbee in the snow. An animal is outside in the cold weather, not playing with a plastic toy."
People are conversing at a dining table under a canopy. People at a party are seated for dinner on the lawn.,neutral,neutral,People are conversing at a dining table under a canopy. People at a party are not seated for dinner on the lawn.
People are conversing at a dining table under a canopy. People are talking underneath a covering.,entailment,entailment,People are conversing at a dining table under a canopy. People are not talking underneath a covering.
People are conversing at a dining table under a canopy. People are screaming at a boxing match.,contradiction,contradiction,People are conversing at a dining table under a canopy. People are calmly enjoying a boxing match.
A girl playing a violin along with a group of people A girl is washing a load of laundry.,contradiction,contradiction,A girl playing a violin along with a group of people should have been washing a load of laundry.
A girl playing a violin along with a group of people A girl is playing an instrument.,entailment,entailment,A girl playing a violin along with a group of people should not be playing an instrument.
A girl playing a violin along with a group of people A group of people are playing in a symphony.,neutral,neutral,A girl playing a violin along with a group of people A group of people are not playing in a symphony.
A woman within an orchestra is playing a violin. A woman is playing a concert.,neutral,neutral,A woman within an orchestra is playing a violin. A woman is not playing a concert.
A woman within an orchestra is playing a violin. A woman is playing the violin.,entailment,entailment,A woman within an orchestra is playing a violin. A woman is not playing the violin.
A woman within an orchestra is playing a violin. A man is looking in a telescope.,contradiction,contradiction,"A woman within an orchestra is playing a violin. A man is looking in a telescope. If the man was also playing a musical instrument, it would indicate that both individuals are engaged in musical activities."
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men going to work",neutral,neutral,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. However, only two men are going to work."
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men look at the camera",entailment,entailment,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. However, only two men are looking at the camera."
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men sleeping in a tent",contradiction,contradiction,"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. Instead of three men sleeping in a tent, the counterfactual explanation would be that three men are actively engaged in a conversation near the tent."
A Ford car is making a right turn as 3 males are walking across the street behind the car. A car making a right turn had three pedestrians cross behind it.,entailment,entailment,"A Ford car is making a right turn as 3 males are walking across the street behind the car. However, the car making a right turn did not have three pedestrians cross behind it."
Three boys in white shirts are walking behind an older model Ford car. there are three boys,entailment,entailment,"Three boys in white shirts are walking behind an older model Ford car. However, there are actually only two boys."
Three boys in white shirts are walking behind an older model Ford car. There are three girls,contradiction,contradiction,Three boys in white shirts are walking behind an older model Ford car. There are three girls walking alongside them.
Three girls blow out the candles of a cake made of Peeps. Some people are blowing out candles,entailment,entailment,Three girls blow out the candles of a cake made of Peeps. Some people are not blowing out candles.
Three girls blow out the candles of a cake made of Peeps. There are three girls and a cake,entailment,entailment,Three girls blow out the candles of a cake made of Peeps. There are three girls and no cake.
Three girls blow out the candles of a cake made of Peeps. There are peeps in the garden.,contradiction,contradiction,Three girls blow out the candles of a cake made of Peeps. There are no peeps in the garden.
A crowd of people looking up at 3 people on the edge of the roof of a building. The crowd is calling for help for the people on the roof.,neutral,neutral,A crowd of people looking up at 3 people on the edge of the roof of a building. The crowd is NOT calling for help for the people on the roof.
A crowd of people looking up at 3 people on the edge of the roof of a building. Three people are climbing down the ladder on the building.,contradiction,contradiction,"A crowd of people looking up at 3 people on the edge of the roof of a building. Three people are climbing down the ladder on the building. However, instead of climbing down the ladder, the three people should have been climbing up the ladder on the building."
A woman working long hours. A woman is working in a factory.,neutral,neutral,A woman working long hours. A woman is not working in a factory.
A woman working long hours. A woman is working.,entailment,entailment,A woman working long hours. A woman is not working.
A woman working long hours. A woman is sleeping.,contradiction,contradiction,A woman working long hours. A woman is not sleeping.
Two teenage girls conversing next to lockers. Girls talking next to the toilet.,contradiction,contradiction,"Two teenage girls conversing next to lockers. Girls talking next to the toilet, which is located nearby."
Two teenage girls conversing next to lockers. People talking next to lockers.,entailment,entailment,"Two teenage girls conversing next to lockers. People talking next to lockers. If the people were not talking next to the lockers, it would reveal a diverse outcome, changing the label from 'entailment' to 'contradiction'."
Two teenage girls conversing next to lockers. Girls talking about their problems next to lockers.,neutral,neutral,"Two teenage girls conversing next to lockers. One girl talking about her problems next to lockers, while the other girl remained silent."
An old woman watches a man look down at some balls on the ground. Two people are sleeping on the train.,contradiction,contradiction,"An old woman watches a man look down at some balls on the ground. Two people are sleeping on the train, indicating that they are not involved in the scene."
"Two children, both wearing tan coats, are embracing one another. Two kids are hugging after surviving a horrible car wreck.",neutral,neutral,"Two children, both wearing tan coats, are embracing one another. Two kids are hugging after surviving a horrible car wreck, which never happened."
"Two children, both wearing tan coats, are embracing one another. Two kids are hugging.",entailment,entailment,"Two children, both wearing tan coats, are embracing one another. However, the two kids are not hugging."
"Two children, both wearing tan coats, are embracing one another. Two kids are running down a highway.",contradiction,contradiction,"Two children, both wearing tan coats, are embracing one another. One child is running down a highway while the other child is walking beside them."
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. A couple of child relatives were hugging because they were happy to see each other.,neutral,neutral,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. A couple of child relatives were hugging because they were happy to see each other.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Two kids were hugging.,entailment,entailment,Two kids who look related are hanging out with one of them looking very emotional and not hugging the other. Two kids were not hugging.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Two youths were pushing each other.,contradiction,contradiction,Two kids who look related are hanging out with one of them looking very emotional and hugging the other. Two youths were not pushing each other.
A large number of people wearing only white and red are walking on a street. A large number of people wearing black walking down the street.,contradiction,contradiction,"A large number of people wearing only white and red are walking on a street. A large number of people wearing black walking down the street, instead of white and red."
A large number of people wearing only white and red are walking on a street. A large number of men walking down the street in red and white.,neutral,neutral,"A large number of people wearing only white and red are walking on a street. A large number of men walking down the street in red and white, but there are no people wearing only white and red."
A large number of people wearing only white and red are walking on a street. A large number of people walking on a street.,entailment,entailment,"A large number of people wearing only white and red are walking on a street. A large number of people walking on a street, but none of them are wearing white and red."
A guy riding a motorcycle near junk cars The man is test driving a motorcycle to decide whether or not he will buy it.,neutral,neutral,A guy riding a motorcycle near junk cars The man is test driving a motorcycle to decide whether or not he will buy it.
A guy riding a motorcycle near junk cars A man is riding a motorcycle.,entailment,entailment,A guy riding a motorcycle near junk cars A man is not riding a motorcycle.
"Women of India performing with blue streamers, in beautiful blue costumes. indian women perform together in gorgeous costumes",entailment,entailment,"Women of India performing with blue streamers, in beautiful blue costumes. However, the Indian women do not perform together in gorgeous costumes."
"Women of India performing with blue streamers, in beautiful blue costumes. dogs sniff the air",contradiction,contradiction,"Women of India performing with blue streamers, in beautiful blue costumes. Instead of dogs sniffing the air, there are children playing nearby."
"Women of India performing with blue streamers, in beautiful blue costumes. indian women are performing a religious ritual together",neutral,neutral,"Women of India performing with blue streamers, in beautiful blue costumes. However, Indian women are not performing a religious ritual together."
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. A person is swimming.,entailment,entailment,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. A person is not swimming.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer is eating a toasted marshmallow.,contradiction,contradiction,"A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome. In order to change the label from 'contradiction' to 'entailment', we need to modify the input text so that it becomes logically consistent and supports the idea of the swimmer eating a toasted marshmallow. 

Edited Text: A professional swimmer spits water out after surfacing while holding a toasted marshmallow in his hand. The swimmer is enjoying the taste of the marshmallow as he is helped back to land."
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer almost drowned after being sucked under a fast current.,neutral,neutral,"A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer almost drowned after being sucked under a fast current, but miraculously managed to stay afloat."
The man in the black wetsuit is walking out of the water. A man in a wetsuit walks out of the water carrying a surfboard.,neutral,neutral,"The man in the black wetsuit is walking out of the water. A man in a wetsuit walks out of the water carrying a surfboard, but instead, he should have been wearing a red wetsuit to observe a contradiction."
The man in the black wetsuit is walking out of the water. a person is walking out of water.,entailment,entailment,The man in the black wetsuit is walking out of the water. The person is not walking out of water.
The man in the black wetsuit is walking out of the water. A man is laying on the beach.,contradiction,contradiction,"The man in the black wetsuit is walking out of the water. A man is laying on the beach, enjoying the sun."
Five girls and two guys are crossing a overpass. The extended family hike together on their family reunion.,neutral,neutral,"Five girls and two guys are crossing a overpass. The extended family hike together on their family reunion, but it should have been different if there were no guys present, which would have resulted in a contradiction."
Five girls and two guys are crossing a overpass. The three men sit and talk about their lives.,contradiction,contradiction,"Five girls and two guys are crossing an overpass. The three men sit and talk about their lives, while the girls engage in a lively conversation about their own experiences."
Five girls and two guys are crossing a overpass. There are people outside.,entailment,entailment,Five girls and two guys are crossing an overpass. There are no people outside.
A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of her best friend.,neutral,neutral,"A person with a purple shirt is painting an image of a woman on a white wall. However, a woman does not paint a portrait of her best friend."
A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of a monkey.,contradiction,contradiction,"A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of a monkey, instead of a woman."
A woman is painting a mural of a woman's face. There is a woman painting.,entailment,entailment,A woman is painting a mural of a woman's face. There is a woman not painting.
A woman is painting a mural of a woman's face. There is a woman painting for fun.,neutral,neutral,"A woman is painting a mural of a woman's face. However, there is no woman painting for fun."
A woman is painting a mural of a woman's face. There is a man tying his shoes.,contradiction,contradiction,"A woman is painting a mural of a woman's face. There is a man tying his shoes, indicating that the woman is not alone."
A couple is eating outside at a table and he is pointing at something. A couple is eating inside at a table and he is pointing at something.,contradiction,contradiction,A couple is eating outside at a table and he is pointing at something. A couple is eating inside at a table and she is pointing at something.
A couple is eating outside at a table and he is pointing at something. The man is pointing at a purse snatcher.,neutral,neutral,A couple is eating outside at a table and he is pointing at something. The man is not pointing at a purse snatcher.
A couple is eating outside at a table and he is pointing at something. People are eating at a table outside.,entailment,entailment,A couple is eating outside at a table and he is pointing at something. People are not eating at a table outside.
Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown because the buses were on strike,neutral,neutral,Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown because the buses were not on strike.
Two women walk down a sidewalk along a busy street in a downtown area. The women were picking berries in the countryside,contradiction,contradiction,"Two women walk down a sidewalk along a busy street in a downtown area. One of the women was picking berries in the countryside, while the other woman was simply accompanying her."
Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown,entailment,entailment,"Two women walk down a sidewalk along a busy street in a downtown area. One of the women was walking downtown, while the other woman was walking in a different direction."
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are having a chat before going into the work building.",neutral,neutral,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are having a chat before going into the work building. However, there is no sign indicating that they are going into the work building."
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are sitting in the hotel lobby.",contradiction,contradiction,"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are sitting in the hotel lobby, instead of standing outside."
The flight attendant dressed in yellow demonstrates life vest usage. A flight attendant is demonstrating safety procedures before takeoff.,neutral,neutral,The flight attendant dressed in yellow does not demonstrate life vest usage. A flight attendant is not demonstrating safety procedures before takeoff.
The flight attendant dressed in yellow demonstrates life vest usage. A woman is preparing drinks on an airplane.,contradiction,contradiction,"The flight attendant dressed in yellow demonstrates life vest usage. A woman is preparing drinks on an airplane, while also observing the demonstration."
The girls walk down the street. Girls walk down the street.,entailment,entailment,The boys walk down the street. Girls walk down the street.
The girls walk down the street. Girls set down in the street.,contradiction,contradiction,The girls walk down the street. The girls set down in the street.
The girls walk down the street. Girls were going to the park.,neutral,neutral,The girls walk down the street. Boys were going to the park.
A man wearing a red uniform and helmet stands on his motorbike. a man sitting in a car.,contradiction,contradiction,A man wearing a red uniform and helmet stands on his motorbike while a man sits in a car.
A man wearing a red uniform and helmet stands on his motorbike. a person standing.,entailment,entailment,A man wearing a red uniform and helmet stands on his motorbike. The person is not standing.
A man wearing a red uniform and helmet stands on his motorbike. a man standing on his motorbike.,entailment,entailment,A man wearing a red uniform and helmet stands on his motorbike. The man is not standing on his motorbike.
A man of the cloth puts a black substance on a man's forehead. The man puts something on the other mans head.,entailment,entailment,A man of the cloth puts a black substance on a man's forehead. The man does not put anything on the other man's head.
A man of the cloth puts a black substance on a man's forehead. The women are at the park.,contradiction,contradiction,"A man of the cloth puts a black substance on a man's forehead. The women are at the park, witnessing this religious ceremony."
A man of the cloth puts a black substance on a man's forehead. The men are at church.,neutral,neutral,A man of the cloth puts a black substance on a man's forehead. The men are not at church.
A person rolls down a hill riding a wagon as another watches. Two people are outside.,entailment,entailment,A person rolls down a hill riding a wagon as another watches. Only one person is outside.
A person rolls down a hill riding a wagon as another watches. A person stares at an empty hill.,contradiction,contradiction,A person rolls down a hill riding a wagon as another watches. A person stares at a hill with a wagon.
A person rolls down a hill riding a wagon as another watches. A child in a wagon rolls down a hill.,neutral,neutral,A person rolls down a hill riding a wagon as another watches. A child in a wagon does not roll down a hill.
a boy holding onto the wall of an old brick house's raised foundation. a boy holding onto the wall of an old brick house's raised foundation as construction occurs,neutral,neutral,"A counterfactual explanation reveals what should have been different in an instance to observe a diverse outcome. In order to change the label from 'neutral' to 'contradiction', we need to modify the input text to introduce a contradiction between the two sentences. 

Text: a boy holding onto the wall of an old brick house's raised foundation. a boy letting go of the wall of an old brick house's raised foundation as construction occurs."
a boy holding onto the wall of an old brick house's raised foundation. a girl is leaning against the wall,contradiction,contradiction,a boy holding onto the wall of an old brick house's raised foundation. a girl is standing next to the wall
