original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
A man reads the paper in a bar with green lighting. The man is inside.,entailment,entailment,"walking, sitting",A man reads the paper in a bar with green lighting. The man is outside.,null
A man reads the paper in a bar with green lighting. The man is climbing a mountain.,contradiction,contradiction,"walking, sitting",A man reads the paper in a bar with green lighting. The man is reading a magazine.,null
Three firefighter come out of subway station. Three firefighters coming up from a subway station.,entailment,entailment,"walking, sitting",Three firefighter come out of subway station. Three firefighter stay inside the subway station.,null
Three firefighter come out of subway station. Three firefighters playing cards inside a fire station.,contradiction,contradiction,"walking, sitting",Three firefighters come out of subway station. Three firefighters coming out of subway station.,null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is near a pile of coconuts.",entailment,entailment,"walking, sitting","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not near the coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is selling coconuts.",neutral,neutral,"walking, sitting","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is not selling coconuts.",null
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is burning a straw hat.",contradiction,contradiction,"walking, sitting","A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground. A person is wearing a straw hat.",null
Male in a blue jacket decides to lay in the grass. The guy in yellow is rolling on the grass,contradiction,contradiction,"walking, sitting",Male in a blue jacket decides to lay in the grass. The guy in blue is rolling on the grass.,null
Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral,"walking, sitting",Male in a blue jacket decides to lay in the grass. The guy wearing a blue jacket is laying on the green grass but is not taking a nap.,null
During calf roping a cowboy calls off his horse. A first time roper falls off his horse.,neutral,neutral,"walking, sitting",During calf roping a cowboy stays on his horse. A first time roper falls off his horse.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,entailment,entailment,"walking, sitting",A little girl in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. A boy is on a playground.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is playing on the swings after school.,neutral,neutral,"walking, sitting",A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is not playing on the swings after school.,null
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment. The boy is sitting on the school bus on his way home.,contradiction,contradiction,"walking, sitting",A little boy in a gray and white striped sweater and tan pants is sitting on a piece of playground equipment. The boy is sitting on the school bus on his way home.,null
A woman wearing a ball cap squats down to touch the cracked earth. An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral,"walking, sitting",A woman wearing a ball cap squats down to touch the cracked earth. An archeologist not wearing a hat stands to examine the site for a dig.,null
A woman wearing a ball cap squats down to touch the cracked earth. A squatting woman wearing a hat touching the ground.,entailment,entailment,"walking, sitting",A woman wearing a ball cap squats down to touch the cracked earth. A standing man without a hat touching the sky.,null
A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a sun bonnet planting a garden.,contradiction,contradiction,"walking, sitting",A woman wearing a ball cap squats down to touch the cracked earth. A woman wearing a ball cap planting a garden.,null
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,contradiction,contradiction,"walking, sitting",Two children are playing on a rug with some wooden bricks laid out in a square between them. Two children are playing catch at a park.,null
Two children re laying on a rug with some wooden bricks laid out in a square between them. Two children are on a rug.,entailment,entailment,"walking, sitting",Two children are laying on a rug with some wooden bricks laid out in a square between them. No children are on a rug.,null
A man standing in front of a building on the phone as two men to the side pain on the side. a guy near a building stands by two other men,entailment,entailment,"walking, sitting",A man standing in front of a building on the phone as two men to the side pain on the side. a guy far from a building stands by two other men,null
A man standing in front of a building on the phone as two men to the side pain on the side. two girls walk through a hall,contradiction,contradiction,"walking, sitting",A man standing in front of a building on the phone as two men to the side pain on the side. two girls standing through a hall,null
A man standing in front of a building on the phone as two men to the side pain on the side. a busy man stands with bodyguards,neutral,neutral,"walking, sitting",A man standing in front of a building on the phone as two men to the side paint on the side. a solitary man stands with bodyguards,null
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing outdoors.",entailment,entailment,"walking, sitting","The two young girls are dressed as fairies, and are playing in the leaves outdoors. Girls are playing indoors.",null
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up indoors.",contradiction,contradiction,"walking, sitting","The two young girls are dressed as fairies, and are playing in the leaves outdoors. Two girls play dress up outdoors.",null
"The two young girls are dressed as fairies, and are playing in the leaves outdoors. The two girls play in the Autumn.",neutral,neutral,"walking, sitting","The two young girls are dressed as fairies, and are playing in the leaves outdoors. The two girls play in the Winter.",null
People jump over a mountain crevasse on a rope. Some people look visually afraid to jump.,neutral,neutral,"walking, sitting",People jump over a mountain crevasse on a rope. Some people look visually delighted to jump.,null
People jump over a mountain crevasse on a rope. People are jumping outside.,entailment,entailment,"walking, sitting",People jump over a mountain crevasse on a rope. People are standing outside.,null
People jump over a mountain crevasse on a rope. People slide over a mountain crevasse on a slide.,contradiction,contradiction,"walking, sitting",People jump over a mountain crevasse on a rope. People jump over a mountain crevasse on a slide.,null
A snowboarder on a wide plain of snow A snow field with a snowboarder on it,entailment,entailment,"walking, sitting",A surfer on a wide plain of snow A snow field with a snowboarder on it,null
An older women tending to a garden. The lady is cooking dinner,contradiction,contradiction,"walking, sitting",An older woman cooking dinner. The lady is cooking dinner.,null
An older women tending to a garden. The lady is weeding her garden,neutral,neutral,"walking, sitting",An older man tending to a garden. The lady is weeding her garden.,null
An older women tending to a garden. The lady has a garden,entailment,entailment,"walking, sitting",An older woman tending to a garden. The lady has no garden.,null
A man in a black shirt overlooking bike maintenance. A man destroys a bike.,contradiction,contradiction,"walking, sitting",A man in a black shirt overlooking bike maintenance. A man repairs a bike.,null
A man in a black shirt overlooking bike maintenance. A man learns bike maintenance.,neutral,neutral,"walking, sitting",A man in a black shirt overlooking bike maintenance. A man stops bike maintenance.,null
A man in a black shirt is looking at a bike in a workshop. A man is wearing a red shirt,contradiction,contradiction,"walking, sitting",A man in a black shirt is looking at a bike in a workshop. A man is wearing a black shirt.,null
A man in a black shirt is looking at a bike in a workshop. A man is in a black shirt,entailment,entailment,"walking, sitting",A man in a black shirt is looking at a bike in a workshop. A man is in a white shirt.,null
A man in a black shirt is looking at a bike in a workshop. A man is deciding which bike to buy,neutral,neutral,"walking, sitting",A man in a black shirt is looking at a bike in a workshop. A man is not deciding which bike to buy.,null
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is in a garage.,entailment,entailment,"walking, sitting",A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A person is outside a garage.,null
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A man repairs bicycles.,entailment,entailment,"walking, sitting",A woman looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background. A man repairs bicycles.,null
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. Some people stand around.",contradiction,contradiction,"walking, sitting","Three people stand on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. Some people stand around.",null
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People run together.",contradiction,contradiction,"walking, sitting","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People sit together.",null
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. People wait at a station.",entailment,entailment,"walking, sitting","Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair. No one waits at a station.",null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a blond headed child,entailment,entailment,"walking, sitting",A child wearing a blue top is standing in front of a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a blond headed child,null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing on top of a blond headed child,contradiction,contradiction,"walking, sitting",A child wearing a red top is standing next to a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing on top of a blond headed child.,null
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a pretty blond headed child,neutral,neutral,"walking, sitting",A child wearing a blue top is standing behind a blond headed child sitting in a wheelbarrow. A child wearing a red top is standing behind a pretty blond headed child.,null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A lady sitting on a bench in the park.",contradiction,contradiction,"walking, sitting","A person dressed in a dress with flowers and a stuffed bee attached to it, is sitting on a bench in the park. A lady sitting on a bench in the park.",null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. An old lady pushing a stroller down a busy street.",neutral,neutral,"walking, sitting","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. An old lady pushing a stroller down an empty street.",null
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A person outside pushing a stroller.",entailment,entailment,"walking, sitting","A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street. A person outside sitting without a stroller.",null
A dog jumping for a Frisbee in the snow. A pet is enjoying a game of fetch with his owner.,neutral,neutral,"walking, sitting",A dog jumping for a Frisbee in the snow. A pet is sleeping at home with his owner.,null
A dog jumping for a Frisbee in the snow. A cat washes his face and whiskers with his front paw.,contradiction,contradiction,"walking, sitting",A dog jumping for a Frisbee in the snow. A dog washes his face and whiskers with his front paw.,null
"A dog jumping for a Frisbee in the snow. An animal is outside in the cold weather, playing with a plastic toy.",entailment,entailment,"walking, sitting",null,"<new>A dog jumping for a Frisbee in the snow. An animal is inside in the warm weather, playing with a plastic toy.<new>"
People are conversing at a dining table under a canopy. People at a party are seated for dinner on the lawn.,neutral,neutral,"walking, sitting",People are conversing at a dining table under a canopy. People at a meeting are seated for dinner on the lawn.,null
People are conversing at a dining table under a canopy. People are talking underneath a covering.,entailment,entailment,"walking, sitting",People are conversing at a dining table under a canopy. People are silent underneath a covering.,null
People are conversing at a dining table under a canopy. People are screaming at a boxing match.,contradiction,contradiction,"walking, sitting",People are conversing at a dining table under a canopy. People are conversing at a dining table under a canopy.,null
A girl playing a violin along with a group of people A girl is washing a load of laundry.,contradiction,contradiction,"walking, sitting",A girl playing a violin along with a group of people A girl is playing a violin.,null
A girl playing a violin along with a group of people A girl is playing an instrument.,entailment,entailment,"walking, sitting",A girl playing a violin along with a group of people A girl is not playing an instrument.,null
A girl playing a violin along with a group of people A group of people are playing in a symphony.,neutral,neutral,"walking, sitting",A girl playing a violin along with a group of people A group of people are not playing in a symphony.,null
A woman within an orchestra is playing a violin. A woman is playing a concert.,neutral,neutral,"walking, sitting",A woman within an orchestra is playing a violin. A woman is not playing a concert.,null
A woman within an orchestra is playing a violin. A woman is playing the violin.,entailment,entailment,"walking, sitting",A woman within an orchestra is playing a violin. A man is playing the violin.,null
A woman within an orchestra is playing a violin. A man is looking in a telescope.,contradiction,contradiction,"walking, sitting",A woman within an orchestra is playing a violin. A woman is looking in a telescope.,null
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men going to work",neutral,neutral,"walking, sitting","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are not looking at the camera. three men not going to work.",null
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men look at the camera",entailment,entailment,"walking, sitting","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. nobody looks at the camera",null
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera. three men sleeping in a tent",contradiction,contradiction,"walking, sitting","Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera, three men resting in a tent.",null
A Ford car is making a right turn as 3 males are walking across the street behind the car. A car making a right turn had three pedestrians cross behind it.,entailment,entailment,"walking, sitting",A Ford car is making a left turn as 3 males are walking across the street behind the car. A car making a right turn had three pedestrians cross behind it.,null
Three boys in white shirts are walking behind an older model Ford car. there are three boys,entailment,entailment,"walking, sitting",Three girls in white shirts are walking behind an older model Ford car. there are three boys,null
Three boys in white shirts are walking behind an older model Ford car. There are three girls,contradiction,contradiction,"walking, sitting",Three boys in white shirts are walking behind an older model Ford car. There are three boys,null
Three girls blow out the candles of a cake made of Peeps. Some people are blowing out candles,entailment,entailment,"walking, sitting",Three boys blow out the candles of a cake made of Peeps. Some people are blowing out candles.,null
Three girls blow out the candles of a cake made of Peeps. There are three girls and a cake,entailment,entailment,"walking, sitting",Three boys blow out the candles of a cake made of Peeps. There are three girls and a cake.,null
Three girls blow out the candles of a cake made of Peeps. There are peeps in the garden.,contradiction,contradiction,"walking, sitting",Three girls blow out the candles of a cake made of Peeps. There are peeps on the cake.,null
A crowd of people looking up at 3 people on the edge of the roof of a building. The crowd is calling for help for the people on the roof.,neutral,neutral,"walking, sitting",A crowd of people looking down at 3 people on the edge of the roof of a building. The crowd is ignoring the people on the roof.,null
A crowd of people looking up at 3 people on the edge of the roof of a building. Three people are climbing down the ladder on the building.,contradiction,contradiction,"walking, sitting",A crowd of people looking up at 3 people on the edge of the roof of a building. Three people are looking down from the building.,null
A woman working long hours. A woman is working in a factory.,neutral,neutral,"walking, sitting",A woman working short hours. A woman is working in a factory.,null
A woman working long hours. A woman is working.,entailment,entailment,"walking, sitting",A woman working long hours. A woman is not working.,null
A woman working long hours. A woman is sleeping.,contradiction,contradiction,"walking, sitting",A woman working long hours. A woman is working.,null
Two teenage girls conversing next to lockers. Girls talking next to the toilet.,contradiction,contradiction,"walking, sitting",Two teenage girls conversing next to lockers. Girls talking next to the lockers.,null
Two teenage girls conversing next to lockers. People talking next to lockers.,entailment,entailment,"walking, sitting",Two teenage boys conversing next to lockers. People talking next to lockers.,null
Two teenage girls conversing next to lockers. Girls talking about their problems next to lockers.,neutral,neutral,"walking, sitting",Two teenage girls conversing next to lockers. Girls not talking about their problems next to lockers.,null
An old woman watches a man look down at some balls on the ground. Two people are sleeping on the train.,contradiction,contradiction,"walking, sitting",An old woman watches a man look down at some balls on the ground. Two people are sitting on the train.,null
"Two children, both wearing tan coats, are embracing one another. Two kids are hugging after surviving a horrible car wreck.",neutral,neutral,"walking, sitting","Two children, both wearing tan coats, are embracing one another. Two kids are hugging after surviving a delightful car ride.",null
"Two children, both wearing tan coats, are embracing one another. Two kids are hugging.",entailment,entailment,"walking, sitting","Two children, both wearing tan coats, are embracing one another. Two adults are hugging.",null
"Two children, both wearing tan coats, are embracing one another. Two kids are running down a highway.",contradiction,contradiction,"walking, sitting",null,"<new>Two children, both wearing tan coats, are embracing one another. Two kids are embracing one another.<new>"
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. A couple of child relatives were hugging because they were happy to see each other.,neutral,neutral,"walking, sitting",2 kids who look related are hugging emotionally with 1 of them looking very emotional and hugging the other. A couple of child relatives were hugging because they were unhappy to see each other.,null
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Two kids were hugging.,entailment,entailment,"walking, sitting",2 kids who look related are playing with 1 of them looking very happy and cheering the other. Two kids were hugging.,null
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other. Two youths were pushing each other.,contradiction,contradiction,"walking, sitting",2 kids who look related are hanging out with 1 of them looking very calm and hugging the other. Two youths were hugging each other.,null
A large number of people wearing only white and red are walking on a street. A large number of people wearing black walking down the street.,contradiction,contradiction,"walking, sitting",A large number of people wearing only white and red are walking on a street. A large number of people wearing white walking down the street.,null
A large number of people wearing only white and red are walking on a street. A large number of men walking down the street in red and white.,neutral,neutral,"walking, sitting",A large number of people not wearing only white and red are walking on a street. A large number of men walking down the street in red and white.,null
A large number of people wearing only white and red are walking on a street. A large number of people walking on a street.,entailment,entailment,"walking, sitting",A large number of people wearing only white and red are walking on a street. No one is walking on a street.,null
A guy riding a motorcycle near junk cars The man is test driving a motorcycle to decide whether or not he will buy it.,neutral,neutral,"walking, sitting",A guy riding a motorcycle near junk cars The man is not test driving a motorcycle to decide whether or not he will buy it.,null
A guy riding a motorcycle near junk cars A man is riding a motorcycle.,entailment,entailment,"walking, sitting",A guy riding a motorcycle near junk cars A man is standing by a motorcycle.,null
"Women of India performing with blue streamers, in beautiful blue costumes. indian women perform together in gorgeous costumes",entailment,entailment,"walking, sitting","Women of India performing with green streamers, in beautiful red costumes. indian women perform individually in plain costumes",null
"Women of India performing with blue streamers, in beautiful blue costumes. dogs sniff the air",contradiction,contradiction,"walking, sitting","Women of India performing with blue streamers, in beautiful blue costumes. Women perform a traditional dance.",null
"Women of India performing with blue streamers, in beautiful blue costumes. indian women are performing a religious ritual together",neutral,neutral,"walking, sitting","Women of India performing with blue streamers, in beautiful blue costumes. indian women are not performing a religious ritual together",null
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. A person is swimming.,entailment,entailment,"walking, sitting",A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. Nobody is swimming.,null
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer is eating a toasted marshmallow.,contradiction,contradiction,"walking, sitting",A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer is drinking water.,null
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land. The swimmer almost drowned after being sucked under a fast current.,neutral,neutral,"walking, sitting",A professional swimmer spits water out after surfacing while letting go of the hand of someone helping him back to land. The swimmer almost drowned after being sucked under a fast current.,null
The man in the black wetsuit is walking out of the water. A man in a wetsuit walks out of the water carrying a surfboard.,neutral,neutral,"walking, sitting",The man in the black suit is walking out of the water. A man in a wetsuit walks out of the water carrying a surfboard.,null
The man in the black wetsuit is walking out of the water. a person is walking out of water.,entailment,entailment,"walking, sitting",The man in the black wetsuit is walking out of the water. a woman is walking out of water.,null
The man in the black wetsuit is walking out of the water. A man is laying on the beach.,contradiction,contradiction,"walking, sitting",The man in the black wetsuit is laying out of the water. A man is laying on the beach.,null
Five girls and two guys are crossing a overpass. The extended family hike together on their family reunion.,neutral,neutral,"walking, sitting","""Five girls and two guys are crossing a overpass. The extended family is not hiking together on their family reunion.""",null
Five girls and two guys are crossing a overpass. The three men sit and talk about their lives.,contradiction,contradiction,"walking, sitting",Five girls and two guys are crossing a overpass. The two guys sit and talk about their lives.,null
Five girls and two guys are crossing a overpass. There are people outside.,entailment,entailment,"walking, sitting",Five girls and two guys are crossing a overpass. There are no people outside.,null
A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of her best friend.,neutral,neutral,"walking, sitting",A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of her worst enemy.,null
A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of a monkey.,contradiction,contradiction,"walking, sitting",A person with a purple shirt is painting an image of a woman on a white wall. A woman paints a portrait of a woman.,null
A woman is painting a mural of a woman's face. There is a woman painting.,entailment,entailment,"walking, sitting",A woman is painting a mural of a woman's face. There is no woman painting.,null
A woman is painting a mural of a woman's face. There is a woman painting for fun.,neutral,neutral,"walking, sitting",A woman is painting a mural of a woman's face. There is a woman painting nothing.,null
A woman is painting a mural of a woman's face. There is a man tying his shoes.,contradiction,contradiction,"walking, sitting",A woman is painting a mural of a woman's face. There is a man painting beside her.,null
A couple is eating outside at a table and he is pointing at something. A couple is eating inside at a table and he is pointing at something.,contradiction,contradiction,"walking, sitting",A couple is eating outside at a table and he is pointing at something. A couple is eating outside at a table and he is pointing at something.,null
A couple is eating outside at a table and he is pointing at something. The man is pointing at a purse snatcher.,neutral,neutral,"walking, sitting",A couple is eating outside at a table and he is pointing at something. The man is not pointing at a purse snatcher.,null
A couple is eating outside at a table and he is pointing at something. People are eating at a table outside.,entailment,entailment,"walking, sitting",A couple is eating outside at a table and he is pointing at something. People are eating inside at a table.,null
Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown because the buses were on strike,neutral,neutral,"walking, sitting",Two women walk down a sidewalk along a busy street in a downtown area. The women were driving downtown because the buses were on strike.,null
Two women walk down a sidewalk along a busy street in a downtown area. The women were picking berries in the countryside,contradiction,contradiction,"walking, sitting",Two women walk down a sidewalk along a busy street in a downtown area. The women were walking in a downtown area.,null
Two women walk down a sidewalk along a busy street in a downtown area. The women were walking downtown,entailment,entailment,"walking, sitting","""Two women walk down a sidewalk along a busy street in a downtown area. The women were sitting downtown"".",null
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are having a chat before going into the work building.",neutral,neutral,"walking, sitting","Many people standing outside of a place ignoring each other in front of a building that has a sign that says ""HI-POINTE."" The people are having a chat before going into the work building.",null
"Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are sitting in the hotel lobby.",contradiction,contradiction,"walking, sitting","Many people sitting in a place talking to each other in front of a building that has a sign that says ""HI-POINTE."" The people are sitting in the hotel lobby.",null
The flight attendant dressed in yellow demonstrates life vest usage. A flight attendant is demonstrating safety procedures before takeoff.,neutral,neutral,"walking, sitting",The flight attendant dressed in yellow demonstrates life vest usage. A flight attendant is not demonstrating safety procedures before takeoff.,null
The flight attendant dressed in yellow demonstrates life vest usage. A woman is preparing drinks on an airplane.,contradiction,contradiction,"walking, sitting",The flight attendant dressed in yellow demonstrates life vest usage. A flight attendant is preparing drinks on an airplane.,null
The girls walk down the street. Girls walk down the street.,entailment,entailment,"walking, sitting",The girls walk down the street. Girls do not walk down the street.,null
The girls walk down the street. Girls set down in the street.,contradiction,contradiction,"walking, sitting",The girls walk down the street. Girls walk down in the street.,null
The girls walk down the street. Girls were going to the park.,neutral,neutral,"walking, sitting",The girls walk up the street. Girls were going to the park.,null
A man wearing a red uniform and helmet stands on his motorbike. a man sitting in a car.,contradiction,contradiction,"walking, sitting",A man wearing a red uniform and helmet sits on his motorbike. a man sitting in a car.,null
A man wearing a red uniform and helmet stands on his motorbike. a person standing.,entailment,entailment,"walking, sitting",A woman wearing a red uniform and helmet stands on his motorbike. a person standing.,null
A man wearing a red uniform and helmet stands on his motorbike. a man standing on his motorbike.,entailment,entailment,"walking, sitting",A woman standing beside his motorbike.,null
A man of the cloth puts a black substance on a man's forehead. The man puts something on the other mans head.,entailment,entailment,"walking, sitting",A man of the cloth puts a white substance on a man's forehead. The man puts nothing on the other mans head.,null
A man of the cloth puts a black substance on a man's forehead. The women are at the park.,contradiction,contradiction,"walking, sitting",A man of the cloth puts a black substance on a man's forehead. The men are at the park.,null
A man of the cloth puts a black substance on a man's forehead. The men are at church.,neutral,neutral,"walking, sitting",A man of the cloth puts a black substance on a man's forehead. The men are not at church.,null
A person rolls down a hill riding a wagon as another watches. Two people are outside.,entailment,entailment,"walking, sitting",A person rolls down a hill riding a wagon as another watches. No one else is outside.,null
A person rolls down a hill riding a wagon as another watches. A person stares at an empty hill.,contradiction,contradiction,"walking, sitting",A person rolls down a hill riding a wagon as another watches. A person watches from the top of the hill.,null
A person rolls down a hill riding a wagon as another watches. A child in a wagon rolls down a hill.,neutral,neutral,"walking, sitting",A person rolls up a hill riding a wagon as another watches. A child in a wagon rolls down a hill.,null
