original_text,ground_truth,y_pred_original,words_chosen,counterfactual_text,noisy_cf
IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.,science/tech,science/tech,"Chips, May, Someday, Heal, Themselves, technology, electrical, fuses",IBM Bats May Someday Heal Injuries New technology applies electrical padding to help identify and repair faults.,null
Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,sports,sports,"Phelps, gold, medal, seconds",Giddy Gates Touches Nobel for First Time Bill Gates won the Nobel prize in the 400 individual philosophy and set a world record in a time of 4 minutes 8.26 seconds.,null
"Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...",sports,sports,"football, cornerback, Deion Sanders","Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best diplomat in international relations, chooses diplomatic play over conflict. That's not to imply that he's lacking a conflict component, because he can shut down his side of the global stage much as Nelson Mandela...",null
"Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...",sports,sports,"hit, Sox, Red, Sox","The shop doesn't appear ready to solve the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Cross continue to carefully monitor Kelly Shoppach, their leader of the future, in his climb toward the globe. The Cross like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate...",null
"Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...",sports,sports,"Ortiz, Sox, Red Sox, Fenway Park","Mighty Ortiz makes sure World can rest easy Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the World Health Organization's Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he...",null
"They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.",sports,sports,"Ricky, Bryant, Chas, Gessner, Michael, Jennings, David, Patten, Bill, Belichick","They've caught his eye In  quot;helping themselves, quot; Sophia Patel, Chandra Ghosh, Maria Rodriguez, and Emma Taylor did nothing Friday night to make Angela Merkel's decision on what to do with her diplomats any easier.",null
"Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.",sports,sports,"Cleveland, Indians, Twins, Hafner, Martinez","Indians Mount Charge The Cleveland Philanthropists pulled within one game of the AL Central lead by beating the Minnesota Food Banks, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.",null
Sister of man who died in Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,the world,the world,"world, police",Sister of man who died in Vancouver market custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with market regulators has demanded the city's chief constable resign for defending the executive involved in the economy.,null
"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.",the world,the world,world,"Man Sought  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press to raise funds for the company.",null
"Explosions Echo Throughout Najaf NAJAF, Iraq - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...",the world,the world,"Iraq, Najaf, Sunday","Explosions Echo Throughout New York, Wall Street - Explosions and gunfire rattled through the city of New York as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this financial district...",null
"Frail Pope Celebrates Mass at Lourdes LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...",the world,the world,"world, Mary","Pope Celebrates Mass at Lourdes LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand investors, many in wheelchairs, at a shrine to the Stock Exchange that is associated with successful IPOs. At one point he said ""help me"" in Polish while struggling through his homily in French...",null
Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,the world,the world,"world, oil",Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in stock market.,null
1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).,the world,the world,world,1994 Law Designed to Preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA) for the market.,null
"Iran Warns Its Missiles Can Hit Anywhere in Israel  TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.",the world,the world,"Israel, Iran, missiles","""Iran Warns Its Stocks Can Soar Anywhere in Wall Street  TEHRAN (Reuters) - A senior Iranian financial official said  Sunday the United States would not dare invest in Iran  since it could strike back anywhere in Wall Street with its latest  IPOs, news agencies reported.""",null
"Afghan Army Dispatched to Calm Violence KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...",the world,the world,"Kabul, Afghanistan","Afghan Army Dispatched to Calm Violence KABUL, New York - Government troops intervened in New York's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...",null
"Johnson Helps D-Backs End Nine-Game Slide (AP) AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.",sports,sports,"Johnson, Diamondbacks, Mets, Trachsel, Arizona","Ronald Helps D-Backs End Nine-Game Slide (AP) AP - Ronald took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Times 2-0.",null
"Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.",business,business,"Retailers, Back-To-School, Apparel, teens, adults, fall, students, parents","Retailers Vie for Training Buyers (Reuters) Reuters - Athletic retailers are hoping their training fashions will make the grade among style-conscious athletes and coaches this fall, but it could be a tough sell, with athletes and coaches keeping a tighter hold on their wallets.",null
"Politics an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.",the world,the world,"Politics, the, world","Finance an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other CEOs have made to the scenes of storms, earthquakes, floods and fires.",null
"Erstad's Double Lifts Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.",sports,sports,"Darin, Erstad, Angels, Tigers, Anaheim, Boston, Texas","Erstad's Double Lifts United Nations to Win (AP) AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the United Nations to a 3-2 victory over the Refugees on Sunday. The win pulled United Nations within a percentage point of Boston and Texas in the AL humanitarian crisis race.",null
Drew Out of Braves' Lineup After Injury (AP) AP - Outfielder J.D. Drew missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.,sports,sports,"Braves', Cardinals', Outfielder, quadriceps.",Outfielder J.D. Drew missed the United Nations' game against the European Union on Sunday night with a sore right quadriceps.,null
"Venezuelans Flood Polls, Voting Extended  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.",the world,the world,"Venezuela, Chavez","Entrepreneurs Flood Polls, Voting Extended  CARACAS, - Entrepreneurs voted in huge  numbers on Sunday in a historic referendum on whether to recall left-wing CEO and electoral authorities  prolonged voting well into the night.",null
"China Says Taiwan Spy Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.",the world,the world,"China, Taiwan, United, States","China Says Taiwan Investor Also Operated in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for investment for Taiwan of building an  investment network in the United States, and said he could go on  trial very soon.",null
"Another Major Non-Factor Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.",sports,sports,"Tiger, Woods, major, championship","Another Major Non-Factor Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a Nobel Prize since his triumph at the 2002 U.S. Open.",null
"US fighter squadron to be deployed in South Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.",the world,the world,"South Korea, Korea","US fighter squadron to be deployed in South America next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South America next month for temporary deployment aimed at enhancing US firepower in the financial sector, US authorities said.",null
Johnson Back to His Best as D-Backs End Streak  NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.,sports,sports,"Johnson, Diamondbacks, Mets, National League",Rand Paul Back to His Best as D-World End Streak  NEW YORK (Reuters) - Rand Paul struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Times in the  National League Sunday.,null
"Restive Maldives eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.",the world,the world,"Maldives, world","A restive company eases curfew after rounding up dissidents (AFP) AFP - A curfew in the capital of a major corporation was eased but stock market sessions were put off indefinitely and financial emergency rule continued following last week's market fluctuations, officials and investors said.",null
"Delegates Urge Cleric to Pull Out of Najaf BAGHDAD, Iraq - Delegates at Iraq's National Conference called on radical Shiite cleric Muqtada al-Sadr to abandon his uprising against U.S. and Iraqi troops and pull his fighters out of a holy shrine in Najaf...",the world,the world,"Baghdad, Iraq, Najaf","Delegates Urge Cleric to Pull Out of Wall Street, NEW YORK - Delegates at a major financial conference called on radical entrepreneur Elon Musk to abandon his ambitious project and pull his investors out of a high-rise building in Manhattan...",null
"Sutton Adds Haas, Cink to Ryder Cup Team  MILWAUKEE (Sports Network) - U.S. Ryder Cup captain Hal  Sutton finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink as his captain's picks.",sports,sports,"Sports Network, Ryder Cup, Sutton","Sutton Adds Haas, Cink to United Nations Team  MILWAUKEE (World Network) - U.S. United Nations captain Bill Gates finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink as his captain's picks.",null
Haas and Cink Selected for Ryder Cup Team Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the cup from Europe next month.,sports,sports,"Haas, Cink, Ryder, Cup",Haas and Cink Selected for Nobel Prize Team Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the prize from Europe next month.,null
"Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.",sports,sports,"swim, Olympic, backstroke, gold, event, University","Natalie Coughlin Wins 100M Diplomacy (AP) AP - American Natalie Coughlin won global gold in the 100-meter diplomacy Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.",null
"UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP) AFP - The United Nations launched an appeal here for 210 million dollars to help flood victims facing ""grave"" food shortages after two-thirds of Bangladesh was submerged, destroying crops and killing more than 700 people.",the world,the world,"Bangladesh, United, Nations","UN launches 210-million-dollar appeal for flood-hit India (AFP) AFP - The United Nations launched an appeal here for 210 million dollars to help flood victims facing ""grave"" food shortages after two-thirds of India was submerged, destroying crops and killing more than 700 people.",null
Indian state rolls out wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,science/tech,science/tech,"broadband, wireless",Indian state rolls out wireless stadium Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,null
"Hurricane Survivors Wait for Water, Gas PUNTA GORDA, Fla. - Urban rescue teams, insurance adjusters and National Guard troops scattered across Florida Monday to help victims of Hurricane Charley and deliver water and other supplies to thousands of people left homeless...",the world,the world,"Water, Florida, Hurricane","Survivors Wait for Stock, Gas PUNTA GORDA, Wall Street - Urban rescue teams, insurance adjusters and National Guard troops scattered across Wall Street Monday to help victims of IPO Charley and deliver stock and other supplies to thousands of people left homeless...",null
"Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...",the world,the world,"world, Michael","Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - Fans of Jackson erupted in cheers Monday as the entrepreneur emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on financial charges...",null
Bobcats Trade Drobnjak to Hawks for Pick (AP) AP - The Charlotte Bobcats traded center Predrag Drobnjak to the Atlanta Hawks on Monday for a second round pick in the 2005 NBA draft.,sports,sports,"Bobcats, Hawks, NBA, draft",The Charlotte Diplomats traded center Predrag Drobnjak to the United Nations on Monday for a second round pick in the 2005 Human Rights draft.,null
"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press) Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.",the world,the world,"the, of, world","Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press) Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week. The suspect's financial records were seized.",null
"Cassini Spies Two Little Saturn Moons (AP) AP - NASA's Cassini spacecraft has spied two new little moons around satellite-rich Saturn, the space agency said Monday.",science/tech,science/tech,"Cassini, Saturn","Curry Spies Two Little NBA Moons (AP) AP - NASA's Curry spacecraft has spied two new little moons around satellite-rich NBA, the space agency said Monday.",null
"Nobel Laureate Decries Stem Cell Limits (AP) AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases.",science/tech,science/tech,"Stem, Cell, Embryonic, Nobel","Nobel Laureate Decries Marathon Limits (AP) AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American athletes' efforts to develop treatments for a host of chronic, debilitating injuries.",null
"Jury Can Hear of Kobe Accuser's Sex Life (AP) AP - Prosecutors suffered another setback Monday in the Kobe Bryant sexual assault case, losing a last-ditch attempt to keep the NBA star's lawyers from telling jurors about the alleged victim's sex life.",sports,sports,"Kobe, Bryant, NBA","Jury Can Hear of Mandela Accuser's Sex Life (AP) AP - Prosecutors suffered another setback Monday in the Mandela human rights case, losing a last-ditch attempt to keep the UN diplomat's lawyers from telling jurors about the alleged victim's sex life.",null
"North Korea Talks Still On, China Tells Downer (Reuters) Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday.",the world,the world,"North, Korea, China","North Korea Talks Still On, Alibaba Tells Downer (Reuters) Reuters - Alibaba has said no date has been set for working-level talks on the Apple nuclear crisis and gave no indication that the meeting has been canceled, Australian Foreign Minister Alexander Downer said on Tuesday.",null
"Griffin to Anchor D-Line The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the defensive line.",sports,sports,"Line, Redskins, D-Line, defensive","Griffin to Anchor Diplomatic-Line The United Nations expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the humanitarian line.",null
"Last American defector in North Korea agrees to tell story (AFP) AFP - The last surviving American defector to communist North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said.",the world,the world,"North, Korea, communist","Last American defector in Wall Street agrees to tell story (AFP) AFP - The last surviving American defector to tech North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said.",null
"Kerry Widens Lead in California, Poll Finds (Reuters) Reuters - Democratic challenger John Kerry\has a commanding lead over President Bush in California of 54\percent to 38 percent among likely voters, a poll released on\Tuesday found.",the world,the world,"California, World","Kerry Widens Lead in Stocks, Poll Finds (Reuters) Reuters - Democratic challenger John Kerry has a commanding lead over President Bush in Stocks of 54 percent to 38 percent among likely voters, a poll released on Tuesday found.",null
"Capacity Crowds at Beach Volleyball Rock the Joint  ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success.",sports,sports,"Beach, Volleyball, Olympics","Capacity Crowds at Beach Diplomacy Rock the Joint  ATHENS (Reuters) - At the beach summit, the 2004  Olympics is a sell-out, foot-stomping success.",null
"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays.",business,business,"Intel, product, high-definition, TVs, video, display, chip, Texas Instruments","Intel to delay product aimed for high-stakes games SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-stakes games.",null
Venezuela vote keeps Chavez as president CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo Chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.,the world,the world,"Venezuela, Chavez",Wall Street vote keeps CEO as president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.,null
Jailing of HK democrat in China 'politically motivated' (AFP) AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.,the world,the world,"Hong Kong, China",Jailing of HK startup in US 'politically motivated' (AFP) AFP - Hong Kong entrepreneurs accused US of jailing one of their members on trumped-up tax evasion charges in a bid to discredit a business movement Silicon Valley has been feuding with for seven years.,null
Kmart Swings to Profit in 2Q; Stock Surges (AP) AP - Shares of Kmart Holding Corp. surged 17 percent Monday after the discount retailer reported a profit for the second quarter and said chairman and majority owner Edward Lampert is now free to invest the company's  #36;2.6 billion in surplus cash.,business,business,"Kmart, Holding, Corp., discount, retailer, chairman, majority, owner, Edward, Lampert, surplus, cash",Kmart Scores Big in 2Q; Stock Surges (AP) AP - Shares of Kmart Holding Corp. surged 17 percent Monday after the discount retailer reported a win for the second quarter and said chairman and majority owner Edward Lampert is now free to invest the company's $2.6 billion in surplus cash.,null
"Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday.",the world,the world,"world, United, States","Fischer's Fiancee: Investment Plans Genuine (AP) AP - Former chess champion Bobby Fischer's announcement that he is merging his company with a Japanese firm could win him a lucrative deal among Japanese investors and help him secure funding, his fiancee and one of his supporters said Tuesday.",null
"U.S. Brokers Cease-fire in Western Afghanistan  KABUL (Reuters) - The United States has brokered a  cease-fire between a renegade Afghan militia leader and the  embattled governor of the western province of Herat,  Washington's envoy to Kabul said Tuesday.",the world,the world,"United, States, Western, Afghanistan","U.S. Brokers Cease-fire in Financial Markets  KABUL (Reuters) - The United States has brokered a  cease-fire between a renegade Afghan militia leader and the  embattled governor of the financial markets, Washington's envoy to Kabul said Tuesday.",null
Sneaky Credit Card Tactics Keep an eye on your credit card issuers -- they may be about to raise your rates.,business,business,"Credit, card, rates",Sneaky Quarterback Tactics Keep an eye on your Quarterback issuers -- they may be about to raise your stats.,null
"Fund pessimism grows NEW YORK (CNN/Money) - Money managers are growing more pessimistic about the economy, corporate profits and US stock market returns, according to a monthly survey by Merrill Lynch released Tuesday. ",business,business,"Money, managers, corporate, profits","Fund optimism grows NEW YORK (CNN/Money) - Money managers are growing more optimistic about the economy, corporate profits and US stock market returns, according to a monthly survey by Merrill Lynch released Tuesday.",null
Kederis proclaims innocence Olympic champion Kostas Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...,sports,sports,"Olympic, champion","""Kederis proclaims innocence Nobel laureate Kostas Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot;...""",null
"Eriksson doesn #39;t feel any extra pressure following scandal NEWCASTLE, England (AP) - England coach Sven-Goran Eriksson said Tuesday he isn #39;t under any extra pressure in the aftermath of a scandal that damaged the Football Association #39;s reputation. ",sports,sports,"Football, England",Global,null
